Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
17.03.2023;4.850,50;4.851,00;4.867,47;4.797,82;;-0,01%
16.03.2023;4.851,00;4.848,75;4.887,68;4.840,04;;-0,24%
15.03.2023;4.862,65;4.744,00;4.883,35;4.736,93;;2,64%
14.03.2023;4.737,50;4.771,00;4.776,76;4.720,80;;-0,64%
13.03.2023;4.768,00;4.717,10;4.789,53;4.712,90;;1,18%
10.03.2023;4.712,25;4.746,02;4.797,59;4.691,87;;-0,65%
09.03.2023;4.743,02;4.776,87;4.792,28;4.727,77;;-0,65%
08.03.2023;4.773,87;4.766,00;4.787,83;4.725,31;;0,23%
07.03.2023;4.763,00;4.663,75;4.792,65;4.663,27;;1,33%
06.03.2023;4.700,51;4.785,10;4.787,50;4.702,75;;-1,76%
03.03.2023;4.784,50;4.814,65;4.815,15;4.748,29;;-0,57%
02.03.2023;4.811,90;4.830,18;4.898,50;4.805,93;;-0,33%
01.03.2023;4.827,81;4.859,90;4.892,59;4.812,50;;-0,59%
28.02.2023;4.856,68;4.761,01;4.869,85;4.761,01;;2,07%
27.02.2023;4.758,26;4.840,15;4.848,59;4.755,75;;-1,64%
24.02.2023;4.837,40;4.858,15;4.879,41;4.815,37;;-0,37%
23.02.2023;4.855,40;4.896,35;4.906,48;4.834,06;;-0,78%
22.02.2023;4.893,36;4.961,50;4.961,75;4.890,53;;-1,21%
21.02.2023;4.953,43;4.916,31;4.979,00;4.894,35;;0,80%
20.02.2023;4.913,94;4.905,10;4.923,04;4.881,63;;0,30%
17.02.2023;4.899,45;4.927,09;4.956,19;4.879,77;;-0,55%
16.02.2023;4.926,34;4.896,90;4.998,49;4.880,33;;0,63%
15.02.2023;4.895,45;4.751,50;4.928,75;4.751,50;;3,08%
14.02.2023;4.749,00;4.831,60;4.831,84;4.733,32;;-0,80%
13.02.2023;4.787,31;4.798,85;4.837,75;4.768,74;;-0,25%
10.02.2023;4.799,18;4.736,46;4.811,75;4.724,48;;1,20%
09.02.2023;4.742,25;4.762,35;4.773,02;4.717,82;;-0,50%
08.02.2023;4.766,05;4.729,06;4.793,55;4.726,17;;0,85%
07.02.2023;4.726,06;4.786,25;4.798,30;4.726,31;;-1,20%
06.02.2023;4.783,25;4.699,25;4.803,70;4.692,24;;1,88%
03.02.2023;4.695,00;4.623,00;4.714,80;4.598,65;;2,38%
02.02.2023;4.586,00;4.647,40;4.647,40;4.542,58;;-0,26%
01.02.2023;4.598,05;4.668,51;4.670,38;4.598,89;;-1,49%
31.01.2023;4.667,72;4.651,96;4.673,63;4.591,90;;0,36%
30.01.2023;4.650,80;4.573,29;4.663,60;4.551,86;;2,19%
27.01.2023;4.551,00;4.527,70;4.582,85;4.502,36;;0,57%
26.01.2023;4.525,20;4.560,90;4.571,30;4.502,04;;-0,01%
25.01.2023;4.525,48;4.521,00;4.563,85;4.489,54;;0,26%
24.01.2023;4.513,54;4.559,00;4.567,15;4.505,63;;-0,94%
23.01.2023;4.556,50;4.618,27;4.618,27;4.532,02;;-0,73%
20.01.2023;4.590,00;4.702,72;4.702,72;4.595,00;;-1,60%
19.01.2023;4.664,48;4.691,95;4.720,46;4.666,23;;-0,53%
18.01.2023;4.689,45;4.727,40;4.735,50;4.678,23;;-0,75%
17.01.2023;4.724,90;4.684,50;4.735,60;4.675,05;;0,75%
16.01.2023;4.689,88;4.670,78;4.689,88;4.670,78;;0,11%
13.01.2023;4.684,56;4.686,51;4.718,27;4.675,30;;0,07%
12.01.2023;4.681,51;4.733,00;4.733,02;4.671,10;;-1,03%
11.01.2023;4.730,00;4.787,83;4.788,07;4.728,13;;-1,13%
10.01.2023;4.784,00;4.853,08;4.853,21;4.783,48;;-1,33%
09.01.2023;4.848,34;4.860,81;4.861,42;4.849,30;;-0,22%
06.01.2023;4.859,00;4.966,35;4.973,65;4.844,18;;-2,07%
05.01.2023;4.961,60;4.930,25;5.008,88;4.930,23;;0,81%
04.01.2023;4.921,57;4.895,01;4.948,27;4.874,24;;0,60%
03.01.2023;4.892,00;4.848,00;4.895,99;4.818,11;;0,91%
02.01.2023;4.848,00;4.848,67;4.848,67;4.848,00;;0,02%
30.12.2022;4.847,00;4.850,83;4.851,90;4.844,99;;0,00%
29.12.2022;4.847,00;4.774,73;4.851,58;4.765,88;;1,62%
28.12.2022;4.769,77;4.763,56;4.782,38;4.750,12;;0,16%
27.12.2022;4.762,00;4.730,95;4.784,76;4.730,64;;0,74%
26.12.2022;4.727,00;4.729,00;4.731,00;4.728,50;;-0,03%
23.12.2022;4.728,33;4.761,00;4.761,88;4.727,79;;-0,62%
22.12.2022;4.758,00;4.767,83;4.769,00;4.751,32;;-0,15%
21.12.2022;4.765,00;4.777,15;4.777,15;4.754,26;;0,06%
20.12.2022;4.762,07;4.776,00;4.783,13;4.762,22;;-0,25%
19.12.2022;4.773,88;4.790,26;4.790,63;4.770,33;;-0,24%
16.12.2022;4.785,51;4.793,92;4.814,90;4.788,29;;-0,11%
15.12.2022;4.791,00;4.780,75;4.804,36;4.775,83;;0,27%
14.12.2022;4.778,00;4.765,41;4.786,05;4.757,65;;0,34%
13.12.2022;4.762,00;4.849,93;4.849,93;4.761,50;;-1,62%
12.12.2022;4.840,33;4.809,85;4.861,00;4.805,50;;0,71%
09.12.2022;4.806,00;4.824,34;4.834,23;4.804,49;;-0,19%
08.12.2022;4.815,18;4.825,21;4.826,17;4.819,09;;-0,04%
07.12.2022;4.817,18;4.833,64;4.843,88;4.819,38;;-0,27%
06.12.2022;4.830,00;4.835,50;4.836,85;4.806,80;;-0,06%
05.12.2022;4.832,68;4.771,54;4.837,68;4.765,20;;1,34%
02.12.2022;4.768,60;4.767,98;4.798,70;4.747,93;;0,19%
01.12.2022;4.759,60;4.830,57;4.831,42;4.764,80;;-1,40%
30.11.2022;4.827,00;4.811,13;4.841,41;4.789,08;;0,43%
29.11.2022;4.806,38;4.833,38;4.834,17;4.801,19;;-0,50%
28.11.2022;4.830,64;4.882,50;4.882,50;4.825,13;;-0,64%
25.11.2022;4.861,60;4.909,90;4.914,29;4.862,24;;-0,88%
24.11.2022;4.904,70;4.887,00;4.911,45;4.882,45;;0,58%
23.11.2022;4.876,47;4.907,14;4.907,14;4.859,00;;-0,53%
22.11.2022;4.902,39;4.950,67;4.950,67;4.895,27;;-0,90%
21.11.2022;4.947,00;4.997,19;5.003,44;4.936,60;;-0,75%
18.11.2022;4.984,25;4.999,38;5.018,20;4.950,48;;-0,20%
17.11.2022;4.994,38;4.941,33;5.041,45;4.941,33;;1,18%
16.11.2022;4.936,00;4.846,52;4.966,40;4.841,67;;1,92%
15.11.2022;4.843,00;4.805,31;4.849,22;4.767,21;;0,85%
14.11.2022;4.802,00;4.805,73;4.814,13;4.798,13;;0,02%
11.11.2022;4.801,10;4.806,08;4.810,50;4.798,61;;0,08%
10.11.2022;4.797,06;4.890,00;4.909,18;4.781,43;;-1,94%
09.11.2022;4.891,81;4.974,00;4.977,35;4.890,06;;-1,56%
08.11.2022;4.969,25;5.115,00;5.123,13;4.964,91;;-2,64%
07.11.2022;5.104,00;5.096,59;5.109,00;5.089,85;;0,33%
04.11.2022;5.087,00;5.068,85;5.118,17;4.999,92;;0,57%
03.11.2022;5.057,94;5.003,03;5.105,35;5.000,53;;1,20%
02.11.2022;4.998,03;5.003,50;5.010,30;4.969,93;;-0,10%
01.11.2022;5.003,00;4.936,60;5.015,25;4.887,83;;1,49%
31.10.2022;4.929,35;4.835,00;4.946,33;4.829,75;;2,22%
28.10.2022;4.822,08;4.800,00;4.867,71;4.760,04;;0,73%
27.10.2022;4.787,08;4.884,06;4.889,98;4.792,79;;-1,73%
26.10.2022;4.871,14;4.975,20;4.989,34;4.873,38;;-1,86%
25.10.2022;4.963,45;4.990,00;4.990,88;4.911,55;;-0,30%
24.10.2022;4.978,25;4.918,10;5.003,58;4.912,20;;1,47%
21.10.2022;4.906,35;4.904,00;4.960,13;4.877,55;;0,29%
20.10.2022;4.892,25;4.840,00;4.923,63;4.836,38;;1,20%
19.10.2022;4.834,13;4.762,10;4.859,79;4.759,71;;1,64%
18.10.2022;4.756,23;4.735,00;4.791,02;4.682,00;;0,57%
17.10.2022;4.729,13;4.698,00;4.735,94;4.693,23;;0,79%
14.10.2022;4.692,13;4.575,71;4.702,00;4.548,25;;2,68%
13.10.2022;4.569,83;4.607,90;4.661,35;4.574,52;;-0,70%
12.10.2022;4.602,03;4.607,25;4.628,06;4.597,65;;0,01%
11.10.2022;4.601,38;4.606,02;4.636,76;4.583,79;;0,03%
10.10.2022;4.600,15;4.620,00;4.620,00;4.602,57;;-0,30%
07.10.2022;4.614,13;4.613,50;4.637,31;4.575,87;;0,14%
06.10.2022;4.607,63;4.581,90;4.659,89;4.573,33;;0,69%
05.10.2022;4.576,03;4.496,50;4.584,94;4.491,50;;1,90%
04.10.2022;4.490,63;4.530,02;4.534,88;4.462,04;;-0,74%
03.10.2022;4.524,14;4.610,00;4.610,46;4.511,69;;-1,74%
30.09.2022;4.604,13;4.528,69;4.616,25;4.524,04;;1,80%
29.09.2022;4.522,82;4.490,00;4.548,50;4.486,52;;0,86%
28.09.2022;4.484,13;4.554,00;4.556,60;4.462,02;;-1,41%
27.09.2022;4.548,13;4.541,60;4.575,19;4.516,56;;0,27%
26.09.2022;4.535,73;4.438,50;4.550,69;4.436,73;;2,33%
23.09.2022;4.432,63;4.365,10;4.463,19;4.365,10;;1,67%
22.09.2022;4.359,81;4.408,00;4.408,22;4.364,53;;-0,97%
